,day,weight_after,weight_before,contents,time,moisture,tenki,shitsudo
0,2019-07-06,60.0,60.0,腹筋,1.0,0.5,1,10.0
1,2019-07-06,60.0,60.0,腹筋,1.0,0.5,1,10.0
2,2019-07-06,60.0,60.0,腹筋,1.0,0.5,1,10.0
3,2019-07-06,60.0,60.0,腹筋,1.0,0.5,1,10.0
4,2019-07-06,60.0,60.0,腹筋,1.0,0.5,1,10.0
5,2019-07-06,60.0,60.0,腹筋,1.0,0.5,1,10.0
6,2019-07-06,60.0,60.0,腕立て,1.0,0.5,1,10.0
7,2019-07-06,60.0,60.0,腕立て,1.0,0.5,1,10.0
8,2019-07-06,60.0,60.0,腕立て,1.0,0.5,1,10.0
9,2019-07-06,60.0,60.0,腕立て,1.0,0.5,1,10.0
10,2019-07-06,60.0,60.0,腕立て,1.0,0.5,1,10.0
